LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
USA,CPI,TOT,AGRWTH,M,1998-09-01,1.488834
USA,CPI,TOT,AGRWTH,M,1998-10-01,1.485149
USA,CPI,TOT,AGRWTH,M,1998-11-01,1.547988
USA,CPI,TOT,AGRWTH,M,1998-12-01,1.611903
USA,CPI,TOT,AGRWTH,M,1999-01-01,1.670792
USA,CPI,TOT,AGRWTH,M,1999-02-01,1.60593
USA,CPI,TOT,AGRWTH,M,1999-03-01,1.726264
USA,CPI,TOT,AGRWTH,M,1999-04-01,2.276923
USA,CPI,TOT,AGRWTH,M,1999-05-01,2.088452
USA,CPI,TOT,AGRWTH,M,1999-06-01,1.96319
USA,CPI,TOT,AGRWTH,M,1999-07-01,2.144608
USA,CPI,TOT,AGRWTH,M,1999-08-01,2.264382
USA,CPI,TOT,AGRWTH,M,1999-09-01,2.628362
USA,CPI,TOT,AGRWTH,M,1999-10-01,2.560976
USA,CPI,TOT,AGRWTH,M,1999-11-01,2.621951
USA,CPI,TOT,AGRWTH,M,1999-12-01,2.684564
USA,CPI,TOT,AGRWTH,M,2000-01-01,2.738892
USA,CPI,TOT,AGRWTH,M,2000-02-01,3.221884
USA,CPI,TOT,AGRWTH,M,2000-03-01,3.757576
USA,CPI,TOT,AGRWTH,M,2000-04-01,3.068592
USA,CPI,TOT,AGRWTH,M,2000-05-01,3.188929
USA,CPI,TOT,AGRWTH,M,2000-06-01,3.730445
USA,CPI,TOT,AGRWTH,M,2000-07-01,3.659268
USA,CPI,TOT,AGRWTH,M,2000-08-01,3.411131
USA,CPI,TOT,AGRWTH,M,2000-09-01,3.454437
USA,CPI,TOT,AGRWTH,M,2000-10-01,3.448276
USA,CPI,TOT,AGRWTH,M,2000-11-01,3.446227
USA,CPI,TOT,AGRWTH,M,2000-12-01,3.386809
USA,CPI,TOT,AGRWTH,M,2001-01-01,3.732228
USA,CPI,TOT,AGRWTH,M,2001-02-01,3.533569
USA,CPI,TOT,AGRWTH,M,2001-03-01,2.920561
USA,CPI,TOT,AGRWTH,M,2001-04-01,3.269119
USA,CPI,TOT,AGRWTH,M,2001-05-01,3.61516
USA,CPI,TOT,AGRWTH,M,2001-06-01,3.24826
USA,CPI,TOT,AGRWTH,M,2001-07-01,2.719908
USA,CPI,TOT,AGRWTH,M,2001-08-01,2.719908
USA,CPI,TOT,AGRWTH,M,2001-09-01,2.648244
