SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,NETMIG2020,NETMIG2021,NETMIG2022,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RBIRTH2021,RBIRTH2022,RDEATH2021,RDEATH2022,RNATURALCHG2021,RNATURALCHG2022,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RDOMESTICMIG2021,RDOMESTICMIG2022,RNETMIG2021,RNETMIG2022
40,3,6,1,Alabama," 5,024,356 "," 5,031,362 "," 5,049,846 "," 5,074,296 "," 7,006 "," 18,484 "," 24,450 "," 13,867 "," 57,112 "," 58,280 "," 15,165 "," 69,056 "," 66,870 "," (1,298)"," (11,944)"," (8,590)", 127 ," 1,805 "," 4,597 "," 9,042 "," 27,704 "," 28,609 "," 9,169 "," 29,509 "," 33,206 ", (865), 919 , (166), 11 , 12 , 14 , 13 , (2), (2), 0 , 1 , 5 , 6 , 6 , 7 
40,4,9,2,Alaska," 733,378 "," 732,923 "," 734,182 "," 733,583 ", (455)," 1,259 ", (599)," 2,406 "," 9,461 "," 9,488 "," 1,163 "," 5,364 "," 6,396 "," 1,243 "," 4,097 "," 3,092 ", 58 , 877 ," 2,371 "," (1,716)"," (3,570)"," (6,126)"," (1,658)"," (2,693)"," (3,755)", (40), (145), 64 , 13 , 13 , 7 , 9 , 6 , 4 , 1 , 3 , (5), (8), (4), (5)
40,4,8,4,Arizona," 7,151,507 "," 7,179,943 "," 7,264,877 "," 7,359,197 "," 28,436 "," 84,934 "," 94,320 "," 18,110 "," 75,384 "," 78,763 "," 18,030 "," 80,430 "," 79,329 ", 80 ," (5,046)", (566), 251 ," 8,019 "," 22,219 "," 29,567 "," 81,811 "," 70,984 "," 29,818 "," 89,830 "," 93,203 "," (1,462)", 150 ," 1,683 ", 10 , 11 , 11 , 11 , (1), (0), 1 , 3 , 11 , 10 , 12 , 13 
40,3,7,5,Arkansas," 3,011,555 "," 3,014,195 "," 3,028,122 "," 3,045,637 "," 2,640 "," 13,927 "," 17,515 "," 8,508 "," 35,115 "," 36,251 "," 8,493 "," 40,174 "," 40,187 ", 15 ," (5,059)"," (3,936)", 94 ," 1,346 "," 3,314 "," 2,406 "," 17,440 "," 18,209 "," 2,500 "," 18,786 "," 21,523 ", 125 , 200 , (72), 12 , 12 , 13 , 13 , (2), (1), 0 , 1 , 6 , 6 , 6 , 7 
40,4,9,6,California," 39,538,245 "," 39,501,653 "," 39,142,991 "," 39,029,342 "," (36,592)"," (358,662)"," (113,649)"," 103,123 "," 412,194 "," 424,652 "," 74,463 "," 345,550 "," 318,497 "," 28,660 "," 66,644 "," 106,155 "," 1,387 "," 44,121 "," 125,715 "," (68,946)"," (458,951)"," (343,230)"," (67,559)"," (414,830)"," (217,515)"," 2,307 "," (10,476)"," (2,289)", 10 , 11 , 9 , 8 , 2 , 3 , 1 , 3 , (12), (9), (11), (6)
40,4,8,8,Colorado," 5,773,733 "," 5,784,865 "," 5,811,297 "," 5,839,926 "," 11,132 "," 26,432 "," 28,629 "," 15,589 "," 62,064 "," 63,086 "," 11,904 "," 46,644 "," 49,381 "," 3,685 "," 15,420 "," 13,705 ", 242 ," 3,914 "," 10,366 "," 6,918 "," 5,690 "," 5,376 "," 7,160 "," 9,604 "," 15,742 ", 287 ," 1,408 ", (818), 11 , 11 , 8 , 8 , 3 , 2 , 1 , 2 , 1 , 1 , 2 , 3 
40,1,1,9,Connecticut," 3,605,942 "," 3,597,362 "," 3,623,355 "," 3,626,205 "," (8,580)"," 25,993 "," 2,850 "," 8,465 "," 33,896 "," 35,818 "," 11,915 "," 34,649 "," 34,902 "," (3,450)", (753), 916 , 410 ," 6,217 "," 16,296 "," (5,548)"," 19,019 "," (13,547)"," (5,138)"," 25,236 "," 2,749 ", 8 ," 1,510 ", (815), 9 , 10 , 10 , 10 , (0), 0 , 2 , 4 , 5 , (4), 7 , 1 
40,3,5,10,Delaware," 989,957 "," 992,114 "," 1,004,807 "," 1,018,396 "," 2,157 "," 12,693 "," 13,589 "," 2,579 "," 10,220 "," 10,744 "," 2,950 "," 11,230 "," 11,462 ", (371)," (1,010)", (718), 64 , 939 ," 2,451 "," 2,512 "," 12,781 "," 11,826 "," 2,576 "," 13,720 "," 14,277 ", (48), (17), 30 , 10 , 11 , 11 , 11 , (1), (1), 1 , 2 , 13 , 12 , 14 , 14 
40,3,5,11,District of Columbia," 689,546 "," 670,868 "," 668,791 "," 671,803 "," (18,678)"," (2,077)"," 3,012 "," 2,187 "," 8,304 "," 8,096 "," 2,005 "," 5,832 "," 5,556 ", 182 ," 2,472 "," 2,540 ", 50 ," 1,746 "," 4,558 "," (15,939)"," (6,624)"," (3,647)"," (15,889)"," (4,878)", 911 ," (2,971)", 329 , (439), 12 , 12 , 9 , 8 , 4 , 4 , 3 , 7 , (10), (5), (7), 1 
40,3,5,12,Florida," 21,538,226 "," 21,589,602 "," 21,828,069 "," 22,244,823 "," 51,376 "," 238,467 "," 416,754 "," 50,292 "," 207,964 "," 220,578 "," 56,302 "," 250,785 "," 260,794 "," (6,010)"," (42,821)"," (40,216)"," 2,842 "," 46,862 "," 125,629 "," 59,688 "," 243,933 "," 318,855 "," 62,530 "," 290,795 "," 444,484 "," (5,144)"," (9,507)"," 12,486 ", 10 , 10 , 12 , 12 , (2), (2), 2 , 6 , 11 , 14 , 13 , 20 
40,3,5,13,Georgia," 10,711,937 "," 10,729,828 "," 10,788,029 "," 10,912,876 "," 17,891 "," 58,201 "," 124,847 "," 29,842 "," 121,391 "," 125,538 "," 24,818 "," 109,531 "," 109,357 "," 5,024 "," 11,860 "," 16,181 ", 732 ," 10,160 "," 27,285 "," 11,226 "," 35,457 "," 81,406 "," 11,958 "," 45,617 "," 108,691 ", 909 , 724 , (25), 11 , 12 , 10 , 10 , 1 , 1 , 1 , 3 , 3 , 8 , 4 , 10 
