AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN, A_MEAN ,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-1242,Database Administrators,detailed,1740,4.8,0.868,1.59,,, 41.87 ," 87,090.00 ", 1.20 , 25.16 , 31.94 , 39.33 , 50.78 , 62.10 ," 52,340.00 "," 66,440.00 "," 81,810.00 "," 105,630.00 "," 129,160.00 ",  ,  
02,Alaska,2,AK,000000,Cross-industry,cross-industry,1235,15-1242,Database Administrators,detailed,110,10.7,0.347,0.64,,, 44.25 ," 92,040.00 ", 3.90 , 28.35 , 33.39 , 40.06 , 52.57 , 60.24 ," 58,970.00 "," 69,450.00 "," 83,330.00 "," 109,340.00 "," 125,300.00 ",  ,  
04,Arizona,2,AZ,000000,Cross-industry,cross-industry,1235,15-1242,Database Administrators,detailed,1960,5.4,0.647,1.19,,, 47.78 ," 99,370.00 ", 1.40 , 25.37 , 35.08 , 49.84 , 58.24 , 66.07 ," 52,770.00 "," 72,970.00 "," 103,670.00 "," 121,140.00 "," 137,430.00 ",  ,  
05,Arkansas,2,AR,000000,Cross-industry,cross-industry,1235,15-1242,Database Administrators,detailed,400,9.6,0.321,0.59,,, 37.29 ," 77,560.00 ", 1.80 , 21.22 , 27.78 , 36.67 , 44.05 , 53.55 ," 44,130.00 "," 57,780.00 "," 76,280.00 "," 91,620.00 "," 111,380.00 ",  ,  
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1242,Database Administrators,detailed,7830,3.4,0.444,0.82,,, 54.92 ," 114,240.00 ", 1.70 , 27.53 , 36.65 , 52.88 , 68.62 , 82.97 ," 57,260.00 "," 76,230.00 "," 109,990.00 "," 142,720.00 "," 172,580.00 ",  ,  
08,Colorado,2,CO,000000,Cross-industry,cross-industry,1235,15-1242,Database Administrators,detailed,2200,12,0.797,1.46,,, 53.47 ," 111,210.00 ", 3.50 , 28.12 , 40.44 , 51.82 , 64.99 , 75.81 ," 58,500.00 "," 84,100.00 "," 107,780.00 "," 135,180.00 "," 157,680.00 ",  ,  
09,Connecticut,2,CT,000000,Cross-industry,cross-industry,1235,15-1242,Database Administrators,detailed,890,7,0.543,1,,, 55.24 ," 114,910.00 ", 3.60 , 29.83 , 40.74 , 52.70 , 66.97 , 78.27 ," 62,050.00 "," 84,750.00 "," 109,610.00 "," 139,310.00 "," 162,790.00 ",  ,  
10,Delaware,2,DE,000000,Cross-industry,cross-industry,1235,15-1242,Database Administrators,detailed,590,6.9,1.297,2.38,,, 50.30 ," 104,620.00 ", 2.00 , 27.57 , 32.43 , 48.35 , 65.37 , 69.59 ," 57,340.00 "," 67,450.00 "," 100,570.00 "," 135,970.00 "," 144,750.00 ",  ,  
11,District of Columbia,2,DC,000000,Cross-industry,cross-industry,1235,15-1242,Database Administrators,detailed,610,15.1,0.879,1.62,,, 53.62 ," 111,530.00 ", 5.80 , 29.45 , 36.53 , 51.93 , 67.53 , 73.54 ," 61,260.00 "," 75,980.00 "," 108,010.00 "," 140,460.00 "," 152,950.00 ",  ,  
12,Florida,2,FL,000000,Cross-industry,cross-industry,1235,15-1242,Database Administrators,detailed,5270,3.4,0.572,1.05,,, 48.20 ," 100,260.00 ", 1.60 , 24.29 , 32.39 , 47.01 , 61.70 , 70.95 ," 50,510.00 "," 67,360.00 "," 97,770.00 "," 128,330.00 "," 147,570.00 ",  ,  
