state,total,18_24,25_39,40_54,55_64,65_up,male,female,population,households_w_children,pct_pop_insecure,pct_insecure_w_child,sal_less_25k,sal_25k_35k,adult_obesity_rate,pc_healthcare_spend,snap_number,snap_pct,yoy_inflation
AL,481840.00,481840.00,20659.00,154673.00,128877.00,109374.00,68256.00,133537.00,4849377.00,203236.00,0.10,0.42,157769.00,117039.00,38.30,9280.00,774318.00,0.16,0.06
AK,71538.00,2343.00,24706.00,15609.00,22892.00,5987.00,42125.00,29413.00,736732.00,34951.00,0.10,0.49,21752.00,8830.00,32.10,13642.00,82986.00,0.11,0.06
AZ,738127.00,64210.00,259178.00,201023.00,135817.00,77897.00,313098.00,425029.00,6731484.00,368738.00,0.11,0.50,163337.00,141949.00,33.20,8756.00,884668.00,0.13,0.08
AR,262622.00,5224.00,130654.00,62010.00,28519.00,36215.00,97921.00,164700.00,2966369.00,129443.00,0.09,0.49,91134.00,37141.00,37.40,9338.00,238828.00,0.08,0.07
CA,2929079.00,87782.00,926987.00,1164938.00,411316.00,338057.00,1362905.00,1566173.00,38802500.00,1507585.00,0.08,0.51,678755.00,444125.00,28.10,10299.00,4553236.00,0.12,0.06
CO,472958.00,44958.00,215048.00,132228.00,38880.00,41844.00,246775.00,226183.00,5355866.00,195706.00,0.09,0.41,87145.00,38797.00,25.00,8583.00,601114.00,0.11,0.08
CT,305558.00,27813.00,93888.00,89605.00,75787.00,18465.00,116664.00,188894.00,3596677.00,111412.00,0.08,0.36,97961.00,33898.00,30.60,12489.00,383809.00,0.11,0.06
DE,88724.00,2330.00,26566.00,35194.00,12541.00,12094.00,47502.00,41223.00,935614.00,36374.00,0.09,0.41,19973.00,8551.00,37.90,12899.00,121463.00,0.13,0.07
DC,31836.00,1587.00,8408.00,4904.00,8801.00,8136.00,14775.00,17061.00,658893.00,11453.00,0.05,0.36,14212.00,343.00,24.30,14381.00,142764.00,0.22,0.07
FL,1865768.00,151089.00,403506.00,688330.00,386541.00,236302.00,789151.00,1076616.00,19893297.00,777038.00,0.09,0.42,396548.00,304861.00,31.60,9865.00,2834015.00,0.14,0.07
